"Name","I","i","C","P","p","M","m"
"Pocket gopher",-0.673379774173112,-1.18815997689533,-1.19271074555356,-1.28242657060013,-1.12530691791414,0.467819643511491,0.357441082927142
"Kangaroo rat",-0.673379774173112,-1.18815997689533,-1.19271074555356,-1.28242657060013,-1.12530691791414,0.467819643511491,0.357441082927142
"Pack rat",-0.673379774173112,-1.18815997689533,-1.19271074555356,-2.10417563525652,-1.91541603049215,0.467819643511491,0.357441082927142
"Field mouse",-0.673379774173112,-1.18815997689533,-1.19271074555356,-2.10417563525652,-1.91541603049215,0.467819643511491,0.357441082927142
"Muskrat",-0.673379774173112,-1.18815997689533,-1.19271074555356,-2.10417563525652,-1.91541603049215,0.467819643511491,0.357441082927142
"Black rat",-0.673379774173112,-1.18815997689533,-1.19271074555356,-2.10417563525652,-1.91541603049215,0.467819643511491,0.357441082927142
"House mouse",-0.673379774173112,-1.18815997689533,-1.19271074555356,-2.10417563525652,-1.91541603049215,0.467819643511491,0.357441082927142
"Porcupine",-0.673379774173112,-1.18815997689533,-1.19271074555356,-1.28242657060013,-1.12530691791414,0.467819643511491,0.357441082927142
"Guinea pig",-0.673379774173112,-1.18815997689533,-1.19271074555356,-1.28242657060013,-1.12530691791414,0.467819643511491,0.357441082927142
"Coyote",-0.673379774173112,0.53532482475504,0.82572282384477,1.18282062336905,1.2450204198199,0.467819643511491,0.357441082927142
"Wolf",1.00371702188068,0.53532482475504,0.82572282384477,1.18282062336905,1.2450204198199,-0.389849702926243,0.357441082927142
"Fox",1.00371702188068,0.53532482475504,0.82572282384477,1.18282062336905,1.2450204198199,-0.389849702926243,0.357441082927142
"Bear",1.00371702188068,0.53532482475504,0.82572282384477,1.18282062336905,1.2450204198199,-0.389849702926243,0.357441082927142
"Civet cat",1.00371702188068,0.53532482475504,0.82572282384477,1.18282062336905,1.2450204198199,-0.389849702926243,-0.625521895122498
"Raccoon",1.00371702188068,0.53532482475504,0.82572282384477,1.18282062336905,1.2450204198199,0.467819643511491,-0.625521895122498
"Marten",1.00371702188068,0.53532482475504,0.82572282384477,1.18282062336905,1.2450204198199,-1.24751904936398,-0.625521895122498
"Fisher",1.00371702188068,0.53532482475504,0.82572282384477,1.18282062336905,1.2450204198199,-1.24751904936398,-0.625521895122498
"Weasel",1.00371702188068,0.53532482475504,0.82572282384477,0.361071558712657,0.454911307241885,-1.24751904936398,-0.625521895122498
"Mink",1.00371702188068,0.53532482475504,0.82572282384477,0.361071558712657,0.454911307241885,-1.24751904936398,-0.625521895122498
"Ferrer",1.00371702188068,0.53532482475504,0.82572282384477,0.361071558712657,0.454911307241885,-1.24751904936398,-0.625521895122498
"Wolverine",1.00371702188068,0.53532482475504,0.82572282384477,1.18282062336905,1.2450204198199,-1.24751904936398,-0.625521895122498
"Badger",1.00371702188068,0.53532482475504,0.82572282384477,0.361071558712657,0.454911307241885,-1.24751904936398,-0.625521895122498
"Skunk",1.00371702188068,0.53532482475504,0.82572282384477,0.361071558712657,0.454911307241885,-1.24751904936398,-0.625521895122498
"River otter",1.00371702188068,0.53532482475504,0.82572282384477,1.18282062336905,0.454911307241885,-1.24751904936398,-0.625521895122498
"Sea otter",1.00371702188068,-0.326417576070146,0.82572282384477,0.361071558712657,0.454911307241885,-1.24751904936398,-0.625521895122498
"Jaguar",1.00371702188068,0.53532482475504,0.82572282384477,0.361071558712657,-0.335197805336126,-1.24751904936398,-1.60848487317214
"Ocelot",1.00371702188068,0.53532482475504,0.82572282384477,0.361071558712657,-0.335197805336126,-1.24751904936398,-1.60848487317214
"Cougar",1.00371702188068,0.53532482475504,0.82572282384477,0.361071558712657,-0.335197805336126,-1.24751904936398,-1.60848487317214
"Lynx",1.00371702188068,0.53532482475504,0.82572282384477,0.361071558712657,-0.335197805336126,-1.24751904936398,-1.60848487317214
"Fur seal",1.00371702188068,-0.326417576070146,0.82572282384477,1.18282062336905,1.2450204198199,-1.24751904936398,-1.60848487317214
"Sea lion",1.00371702188068,-0.326417576070146,0.82572282384477,1.18282062336905,1.2450204198199,-1.24751904936398,-1.60848487317214
"Walrus",-0.673379774173112,-2.04990237772052,0.82572282384477,0.361071558712657,0.454911307241885,-2.10518839580171,-2.59144785122178
"Grey seal",1.00371702188068,-0.326417576070146,0.82572282384477,0.361071558712657,0.454911307241885,-0.389849702926243,-0.625521895122498
"Elephant seal",0.165168623853782,-1.18815997689533,0.82572282384477,1.18282062336905,1.2450204198199,-1.24751904936398,-1.60848487317214
"Peccary",0.165168623853782,0.53532482475504,0.82572282384477,0.361071558712657,0.454911307241885,0.467819643511491,0.357441082927142
"Elk",-1.51192817220001,1.39706722558023,0.82572282384477,0.361071558712657,0.454911307241885,0.467819643511491,0.357441082927142
"Deer",-1.51192817220001,1.39706722558023,-1.19271074555356,0.361071558712657,0.454911307241885,0.467819643511491,0.357441082927142
"Moose",-1.51192817220001,1.39706722558023,-1.19271074555356,0.361071558712657,0.454911307241885,0.467819643511491,0.357441082927142
"Reindeer",-1.51192817220001,1.39706722558023,0.82572282384477,0.361071558712657,0.454911307241885,0.467819643511491,0.357441082927142
"Antelope",-1.51192817220001,1.39706722558023,-1.19271074555356,0.361071558712657,0.454911307241885,0.467819643511491,0.357441082927142
"Bison",-1.51192817220001,1.39706722558023,-1.19271074555356,0.361071558712657,0.454911307241885,0.467819643511491,0.357441082927142
"Mountain goat",-1.51192817220001,1.39706722558023,-1.19271074555356,0.361071558712657,0.454911307241885,0.467819643511491,0.357441082927142
"Musk ox",-1.51192817220001,1.39706722558023,-1.19271074555356,0.361071558712657,0.454911307241885,0.467819643511491,0.357441082927142
"Mountain sheep",-1.51192817220001,1.39706722558023,-1.19271074555356,0.361071558712657,0.454911307241885,0.467819643511491,0.357441082927142
